word,label
가계,0
가까스로,0
가냘프다,0
가누다,1
가늠,1
가다듬다,0
가담,0
가뜩이나,1
가라앉히다,1
가려내다,1
가령,1
가로지르다,1
가로채다,1
가르침,1
가쁘다,1
가세,0
가속,1
가식적,1
가열,1
가엾다,0
가책,0
가출,1
가파르다,1
가하다,1
가혹,1
가훈,0
가히,0
각계,0
각계각층,0
각기,0
각도,1
각박하다,1
각별하다,1
각별히,1
각본,0
각성,0
각양각색,0
간과하다,0
간담회,0
간략하다,1
간밤,0
간부,0
간첩,1
갈래,1
갈망,1
갈피,1
감,1
감격스럽다,1
감금,1
감당,1
감돌다,1
감량,1
감면,1
감명,1
감소세,0
감수,1
감수성,1
감안,0
감언이설,0
감원,0
감지,1
감쪽같이,1
감촉,1
감축,0
감하다,0
감회,0
값어치,1
갓,1
강간,1
강압,1
강인하다,1
강점,1
강제적,1
강직하다,0
강행,0
개관,0
개괄적,0
개그,1
개량,1
개별적,1
개시,0
개신교,1
개운하다,1
개입,1
개작,0
개체,0
개편,1
개표,0
객지,0
거금,0
거동,1
거듭,0
거듭나다,1
거뜬하다,1
거론,0
거룩하다,1
거르다,1
거리낌,1
거문고,0
거부감,1
거북하다,1
거스르다,1
거슬리다,1
거시적,0
거창하다,1
거처,1
거침없이,1
건립,0
건방지다,1
건성,1
건장하다,1
건전,1
걷잡다,1
걸려들다,1
걸림돌,1
걸맞다,1
걸작,1
걸터앉다,1
걸핏하면,1
검거,1
검문,0
검소,0
검증,1
검찰,1
게을리하다,1
게재,0
겨냥,0
겨누다,1
겨루다,1
격리,1
격세지감,0
격언,0
격주,0
격차,1
견고하다,0
견과,0
견문,0
견본,0
견제,0
견주다,0
결단,1
결단력,1
결부,0
결선,0
결성,0
결속,0
결승선,0
결여,0
결의,0
결점,0
결정짓다,1
결핍,1
결함,1
겸허,0
경각심,0
경건하다,1
경계,1
경고문,1
경공업,0
경관,0
경련,1
경매,1
경멸,1
경보,1
경사,1
경시,0
경악,1
경연,0
경영진,0
경유,1
경이롭다,1
경전,0
경제권,1
경제성,1
경지,0
경직,1
경청,1
곁눈질,1
곁들이다,1
계,0
계승,0
계통,0
고가,1
고갈,1
고귀하다,1
고기잡이,0
고난,1
고다,0
고달프다,1
고되다,1
고령,1
고령화,1
고루,0
고립,1
고무신,1
고비,1
고사하다,0
고소득,1
고수,1
고스란히,1
고심,1
고안,0
고약하다,1
고요히,1
고의,1
고인,1
고조,0
고진감래,0
고찰,0
고충,0
고함,1
곤경,0
곤궁,0
곤두세우다,1
곤욕,0
골대,1
골머리,0
골짜기,1
골칫거리,1
곪다,0
곰곰이,1
곰팡이,1
공간적,1
공개적,1
공공연하다,0
공권력,0
공략,1
공로,0
공립,0
공모,0
공방,1
공백,1
공산주의,1
공산품,0
공세,0
공약,0
공연히,0
공용어,0
공적,0
공정,1
공정성,1
공중위생,0
공직,0
공터,0
공포,1
공허하다,1
공헌,0
과감히,1
과격하다,0
과녁,0
과다,1
과민,0
과부,0
과시,1
과열,0
과잉,1
과찬,0
관념,0
관련자,1
관례,0
관료,0
관리,1
관세,1
관여,1
관용적,0
관절,1
관직,0
관측,0
관행,0
관혼상제,0
광범위하다,1
광복,0
광부,0
광활하다,0
교감,1
교란,0
교묘하다,1
교섭,0
교정,1
교활하다,1
구걸,1
구기,0
구기다,1
구불구불하다,1
구사일생,0
구슬,1
구실,1
구어,0
구원,1
구인난,0
구절,1
구제,0
구조적,1
구체화,1
구출,1
구태여,0
구태의연하다,0
구토,1
구형,0
구호,1
국가적,1
국경,1
국고,0
국군,1
국력,0
국무총리,1
국민적,1
국방,0
국비,0
국왕,0
국장,0
국정,0
국제적,1
군계일학,0
군밤,1
군중,0
굴곡,0
굴다,1
굴레,1
굴리다,1
굶주리다,1
굶주림,1
